93,20210709_00:17:54,1cliffbooth1,fart,1,7.0174303,5.119044
94,20210709_00:18:38,willsly123,Does anyone ever get the name on forehead perk?,1,6.486658,8.723298
95,20210709_00:18:44,jesucelesprofs,have you ever had your ass fucked by a hors,0,8.033913,8.261387
96,20210709_00:18:53,isaiah_thagoat10,Everyone here is a simp for big booty girls,1,10.615318,8.735105
97,20210709_00:18:59,petak81,je tu Richard ?,1,5.8945384,8.092595
98,20210709_00:19:17,kixxah,Which ban will be the perma ban?,1,6.6334977,7.709003
99,20210709_00:19:25,gianlucagua,Plssss there are kids in here,1,7.488707,5.96484
100,20210709_00:19:30,theman_themyth_villads,damn lookiong like u need me to sit behinmf you???,1,7.6854863,8.701459
101,20210709_00:19:36,l1gercs,baka pwedeng basain yung ytnap?,1,7.141185,6.3746843
102,20210709_00:19:37,fluxinng,you are sexy escort,2,9.123023,6.2009416
103,20210709_00:19:54,theman_themyth_villads,can i get a fart,1,8.637103,7.357292
104,20210709_00:20:02,bluntlung,This guys is a beautiful woman,2,8.884114,6.4421725
105,20210709_00:20:08,zarox010,fat ass SeemsGood SeemsGood,1,8.260862,5.2940283
106,20210709_00:20:15,lautaro_xlx,aca es la paja grupal?,1,6.3199196,7.488326
107,20210709_00:20:16,srvrdmn,Got any purple?,1,5.726144,6.271215
108,20210709_00:20:25,hugook_,tu suce ?,1,7.6850224,7.7976246
109,20210709_00:20:25,ch_oi1,Rick it’s you?,1,7.169327,8.953686
110,20210709_00:20:30,vincenzom0,AOO A ITAS TORNATE A VEDERVE ER TOCCO,1,7.132562,5.5025344
111,20210709_00:20:35,tchoupie_chakal,fat ass,0,8.077466,5.1108494
112,20210709_00:20:37,fredybanneado,WTF?,1,5.1287503,5.882823
113,20210709_00:20:39,phantomslikeamf,Texcinian?,1,5.8890557,5.9069767
114,20210709_00:20:44,fredybanneado,legal weed at texas?,1,6.411238,6.025038
115,20210709_00:20:49,erobbscohmrag,KkonaW TEXAS,1,6.9219904,5.417519
116,20210709_00:20:49,littlemagicbeast,so you are cowboy girl?,1,9.395283,8.541462
117,20210709_00:21:11,bluntlung,In texas cannabis is illegal SeemsGood k,1,7.163117,6.1492805
118,20210709_00:21:14,b3rto1,big ass nicee,2,7.9747086,5.115893
119,20210709_00:21:18,tchoupie_chakal,you have a big ass,1,8.366925,5.428594
120,20210709_00:21:21,fredybanneado,u work at bangbros?,1,6.493704,6.600445
121,20210709_00:21:22,adamkacem14,i wanna lick that ass,0,8.024854,5.991957
122,20210709_00:21:28,theman_themyth_villads,wanna play firetruck. i spray u scream,1,7.9474277,6.1266704
123,20210709_00:21:34,pingodapenguin_,Anybody fappin’?,1,6.306199,6.171
124,20210709_00:21:39,king100600,r,1,7.058932,4.8763037
125,20210709_00:21:45,rakketta,ma non ti annoi?,1,8.141679,7.9309597
126,20210709_00:21:52,scarlettfan1,Do you travel to comic cons ?,1,7.07029,8.735808
127,20210709_00:21:55,ramtin__king,yo wtf,1,6.4702673,4.351639
128,20210709_00:21:57,titan2u_,That Azz is kinda SUS :/,1,7.1295424,5.90792
129,20210709_00:22:04,potatosloth123,r u gonna chage bikini S,1,7.982205,6.4370003
130,20210709_00:22:08,erobbscohmrag,KKonaW WTF,1,5.248422,5.6885347
131,20210709_00:22:09,chuckkid3,I know you like goldfish did you know theres a red hot limited edition version?,1,7.298956,8.731887
132,20210709_00:22:13,anunnak1_,U SUCH A TALENTED GIRL GIFTED,2,7.2662387,5.6538854
133,20210709_00:22:20,shakingboar,Can you still marry a horse in Texas,1,6.0177026,9.34175
134,20210709_00:22:29,chuckkid3,whhaaaa??,1,5.371759,5.73946
135,20210709_00:22:30,czc_one_shot_uni,wait ur from texas?,1,6.1304183,5.7399764
136,20210709_00:22:31,marfewz,Have you ever camped?,1,-4.3389087,0.5194893
137,20210709_00:22:43,scarlettfan1,Is that bikini legal in Texas ?,1,7.6500316,7.6777983
138,20210709_00:22:43,sneaxxl_,ao e bannateme,1,7.7792,5.8882804
139,20210709_00:22:46,darth_rowe,Do you watch Rick and Morty?,1,7.5351048,8.889897
140,20210709_00:22:46,marfewz,Have you ever camped??,1,-4.314714,0.54403764
141,20210709_00:22:46,caseyh09,So theres no talent you just fking sit there?,0,7.5628395,9.015456
142,20210709_00:22:53,gucci_queenn,@bubbaplayz11 WTF??,1,5.2639537,5.824113
143,20210709_00:22:54,snakeadsa,1000subs name on the butt?,1,6.456311,8.731722
